a,b,c,d,result
129,359,138,304,46
129,359,138,255,95
129,359,138,157,193
129,359,138,79,271
129,359,138,153,197
129,359,243,157,88
129,359,243,79,166
129,359,243,153,92
129,359,304,157,27
129,359,304,79,105
129,359,304,153,31
129,359,255,157,76
129,359,255,79,154
129,359,255,153,80
129,359,351,79,58
129,359,157,79,252
129,359,157,153,178
129,359,79,153,256
129,365,55,138,301
129,365,55,243,196
129,365,55,304,135
129,365,55,255,184
129,365,55,351,88
129,365,55,157,282
129,365,55,79,360
129,365,55,153,286
129,365,138,243,113
129,365,138,304,52
129,365,138,255,101
129,365,138,351,5
129,365,138,157,199
129,365,138,79,277
129,365,138,153,203
129,365,243,157,94
129,365,243,79,172
129,365,243,153,98
129,365,304,157,33
129,365,304,79,111
129,365,304,153,37
129,365,255,157,82
129,365,255,79,160
129,365,255,153,86
129,365,351,79,64
129,365,157,79,258
129,365,157,153,184
129,365,79,153,262
129,138,157,79,31
129,138,79,153,35
129,243,255,79,38
129,243,157,79,136
129,243,157,153,62
129,243,79,153,140
129,304,255,157,21
129,304,255,79,99
129,304,255,153,25
129,304,351,79,3
129,304,157,79,197
129,304,157,153,123
129,304,79,153,201
129,255,157,79,148
129,255,157,153,74
129,255,79,153,152
129,351,157,79,244
129,351,157,153,170
129,351,79,153,248
129,157,79,153,54
137,151,165,55,68
137,151,165,79,44
137,151,170,55,63
137,151,170,79,39
137,151,171,55,62
137,151,171,79,38
137,151,185,55,48
137,151,185,79,24
137,151,186,55,47
137,151,186,79,23
137,151,55,138,95
137,151,55,157,76
137,151,55,79,154
137,151,55,153,80
137,151,138,79,71
137,151,157,79,52
137,151,79,153,56
137,165,170,55,77
137,165,170,79,53
137,165,171,55,76
137,165,171,79,52
137,165,185,55,62
137,165,185,79,38
137,165,186,55,61
137,165,186,79,37
137,165,55,138,109
137,165,55,243,4
137,165,55,157,90
137,165,55,79,168
137,165,55,153,94
137,165,138,157,7
137,165,138,79,85
137,165,138,153,11
137,165,157,79,66
137,165,79,153,70
137,170,171,55,81
137,170,171,79,57
137,170,185,55,67
137,170,185,79,43
137,170,186,55,66
137,170,186,79,42
137,170,249,55,3
137,170,55,138,114
137,170,55,243,9
137,170,55,157,95
137,170,55,79,173
137,170,55,153,99
137,170,138,157,12
137,170,138,79,90
137,170,138,153,16
137,170,157,79,71
137,170,79,153,75
137,171,185,55,68
137,171,185,79,44
137,171,186,55,67
137,171,186,79,43
137,171,249,55,4
137,171,55,138,115
137,171,55,243,10
137,171,55,157,96
137,171,55,79,174
137,171,55,153,100
137,171,138,157,13
137,171,138,79,91
137,171,138,153,17
137,171,157,79,72
137,171,79,153,76
137,185,186,55,81
137,185,186,79,57
137,185,249,55,18
137,185,55,138,129
137,185,55,243,24
137,185,55,255,12
137,185,55,157,110
137,185,55,79,188
137,185,55,153,114
137,185,138,157,27
137,185,138,79,105
137,185,138,153,31
137,185,157,79,86
137,185,157,153,12
137,185,79,153,90
137,186,249,55,19
137,186,55,138,130
137,186,55,243,25
137,186,55,255,13
137,186,55,157,111
137,186,55,79,189
137,186,55,153,115
137,186,138,157,28
137,186,138,79,106
137,186,138,153,32
137,186,243,79,1
137,186,157,79,87
137,186,157,153,13
137,186,79,153,91
137,249,284,55,47
137,249,284,79,23
137,249,304,55,27
137,249,304,79,3
137,249,306,55,25
137,249,306,79,1
137,249,315,55,16
137,249,329,55,2
137,249,330,55,1
137,249,55,138,193
137,249,55,243,88
137,249,55,304,27
137,249,55,255,76
137,249,55,157,174
137,249,55,79,252
137,249,55,153,178
137,249,138,243,5
137,249,138,157,91
137,249,138,79,169
137,249,138,153,95
137,249,243,79,64
137,249,304,79,3
137,249,255,79,52
137,249,157,79,150
137,249,157,153,76
137,249,79,153,154
137,284,304,55,62
137,284,304,79,38
137,284,306,55,60
137,284,306,79,36
137,284,315,55,51
137,284,315,79,27
137,284,329,55,37
137,284,329,79,13
137,284,330,55,36
137,284,330,79,12
137,284,358,55,8
137,284,359,55,7
137,284,365,55,1
137,284,55,138,228
137,284,55,243,123
137,284,55,304,62
137,284,55,255,111
137,284,55,351,15
137,284,55,157,209
137,284,55,79,287
137,284,55,153,213
137,284,138,243,40
137,284,138,255,28
137,284,138,157,126
137,284,138,79,204
137,284,138,153,130
137,284,243,157,21
137,284,243,79,99
137,284,243,153,25
137,284,304,79,38
137,284,255,157,9
137,284,255,79,87
137,284,255,153,13
137,284,157,79,185
137,284,157,153,111
137,284,79,153,189
137,304,306,55,80
137,304,306,79,56
137,304,315,55,71
137,304,315,79,47
137,304,329,55,57
137,304,329,79,33
137,304,330,55,56
137,304,330,79,32
137,304,358,55,28
137,304,358,79,4
137,304,359,55,27
137,304,359,79,3
137,304,365,55,21
137,304,55,138,248
137,304,55,243,143
137,304,55,304,82
137,304,55,255,131
137,304,55,351,35
137,304,55,157,229
137,304,55,79,307
137,304,55,153,233
137,304,138,243,60
137,304,138,255,48
137,304,138,157,146
137,304,138,79,224
137,304,138,153,150
137,304,243,157,41
137,304,243,79,119
137,304,243,153,45
137,304,304,79,58
137,304,255,157,29
137,304,255,79,107
137,304,255,153,33
137,304,351,79,11
137,304,157,79,205
137,304,157,153,131
137,304,79,153,209
137,306,315,55,73
137,306,315,79,49
137,306,329,55,59
137,306,329,79,35
137,306,330,55,58
137,306,330,79,34
137,306,358,55,30
137,306,358,79,6
137,306,359,55,29
137,306,359,79,5
137,306,365,55,23
137,306,55,138,250
137,306,55,243,145
137,306,55,304,84
137,306,55,255,133
137,306,55,351,37
137,306,55,157,231
137,306,55,79,309
137,306,55,153,235
137,306,138,243,62
137,306,138,304,1
137,306,138,255,50
137,306,138,157,148
137,306,138,79,226
137,306,138,153,152
137,306,243,157,43
137,306,243,79,121
137,306,243,153,47
137,306,304,79,60
137,306,255,157,31
137,306,255,79,109
137,306,255,153,35
137,306,351,79,13
137,306,157,79,207
137,306,157,153,133
137,306,79,153,211
137,315,329,55,68
137,315,329,79,44
137,315,330,55,67
137,315,330,79,43
137,315,358,55,39
137,315,358,79,15
137,315,359,55,38
137,315,359,79,14
137,315,365,55,32
137,315,365,79,8
137,315,55,138,259
137,315,55,243,154
137,315,55,304,93
137,315,55,255,142
137,315,55,351,46
137,315,55,157,240
137,315,55,79,318
137,315,55,153,244
137,315,138,243,71
137,315,138,304,10
137,315,138,255,59
137,315,138,157,157
137,315,138,79,235
137,315,138,153,161
137,315,243,157,52
137,315,243,79,130
137,315,243,153,56
137,315,304,79,69
137,315,255,157,40
137,315,255,79,118
137,315,255,153,44
137,315,351,79,22
137,315,157,79,216
137,315,157,153,142
137,315,79,153,220
137,329,330,55,81
137,329,330,79,57
137,329,358,55,53
137,329,358,79,29
137,329,359,55,52
137,329,359,79,28
137,329,365,55,46
137,329,365,79,22
137,329,55,138,273
137,329,55,243,168
137,329,55,304,107
137,329,55,255,156
137,329,55,351,60
137,329,55,157,254
137,329,55,79,332
137,329,55,153,258
137,329,138,243,85
137,329,138,304,24
137,329,138,255,73
137,329,138,157,171
137,329,138,79,249
137,329,138,153,175
137,329,243,157,66
137,329,243,79,144
137,329,243,153,70
137,329,304,157,5
137,329,304,79,83
137,329,304,153,9
137,329,255,157,54
137,329,255,79,132
137,329,255,153,58
137,329,351,79,36
137,329,157,79,230
137,329,157,153,156
137,329,79,153,234
137,330,358,55,54
137,330,358,79,30
137,330,359,55,53
137,330,359,79,29
137,330,365,55,47
137,330,365,79,23
137,330,55,138,274
137,330,55,243,169
137,330,55,304,108
137,330,55,255,157
137,330,55,351,61
137,330,55,157,255
137,330,55,79,333
137,330,55,153,259
137,330,138,243,86
137,330,138,304,25
137,330,138,255,74
137,330,138,157,172
137,330,138,79,250
137,330,138,153,176
137,330,243,157,67
137,330,243,79,145
137,330,243,153,71
137,330,304,157,6
137,330,304,79,84
137,330,304,153,10
137,330,255,157,55
137,330,255,79,133
137,330,255,153,59
137,330,351,79,37
137,330,157,79,231
137,330,157,153,157
137,330,79,153,235
137,358,359,55,81
137,358,359,79,57
137,358,365,55,75
137,358,365,79,51
137,358,55,138,302
137,358,55,243,197
137,358,55,304,136
137,358,55,255,185
137,358,55,351,89
137,358,55,157,283
137,358,55,79,361
137,358,55,153,287
137,358,138,243,114
137,358,138,304,53
137,358,138,255,102
137,358,138,351,6
137,358,138,157,200
137,358,138,79,278
137,358,138,153,204
137,358,243,157,95
137,358,243,79,173
137,358,243,153,99
137,358,304,157,34
137,358,304,79,112
137,358,304,153,38
137,358,255,157,83
137,358,255,79,161
137,358,255,153,87
137,358,351,79,65
137,358,157,79,259
137,358,157,153,185
137,358,79,153,263
137,359,365,55,76
137,359,365,79,52
137,359,55,138,303
137,359,55,243,198
137,359,55,304,137
137,359,55,255,186
137,359,55,351,90
137,359,55,157,284
137,359,55,79,362
137,359,55,153,288
137,359,138,243,115
137,359,138,304,54
137,359,138,255,103
137,359,138,351,7
137,359,138,157,201
137,359,138,79,279
137,359,138,153,205
137,359,243,157,96
137,359,243,79,174
137,359,243,153,100
137,359,304,157,35
137,359,304,79,113
137,359,304,153,39
137,359,255,157,84
137,359,255,79,162
137,359,255,153,88
137,359,351,79,66
137,359,157,79,260
137,359,157,153,186
137,359,79,153,264
137,365,55,138,309
137,365,55,243,204
137,365,55,304,143
137,365,55,255,192
137,365,55,351,96
137,365,55,157,290
137,365,55,153,294
137,365,138,243,121
137,365,138,304,60
137,365,138,255,109
137,365,138,351,13
137,365,138,157,207
137,365,138,79,285
137,365,138,153,211
137,365,243,255,4
137,365,243,157,102
137,365,243,79,180
137,365,243,153,106
137,365,304,157,41
137,365,304,79,119
137,365,304,153,45
137,365,255,157,90
137,365,255,79,168
137,365,255,153,94
137,365,351,79,72
137,365,157,79,266
137,365,157,153,192
137,365,79,153,270
137,138,157,79,39
137,138,79,153,43
137,243,255,79,46
137,243,157,79,144
137,243,157,153,70
137,243,79,153,148
137,304,255,157,29
137,304,255,79,107
137,304,255,153,33
137,304,351,79,11
137,304,157,79,205
137,304,157,153,131
137,304,79,153,209
137,255,157,79,156
137,255,157,153,82
137,255,79,153,160
137,351,157,79,252
137,351,157,153,178
137,351,79,153,256
137,157,79,153,62
151,165,170,55,91
151,165,170,138,8
151,165,170,79,67
151,165,171,55,90
151,165,171,138,7
151,165,171,79,66
151,165,185,55,76
151,165,185,79,52
151,165,186,55,75
151,165,186,79,51
151,165,249,55,12
151,165,55,138,123
151,165,55,243,18
151,165,55,255,6
151,165,55,157,104
151,165,55,79,182
151,165,55,153,108
151,165,138,157,21
151,165,138,79,99
151,165,138,153,25
151,165,157,79,80
151,165,157,153,6
151,165,79,153,84
151,170,171,55,95
151,170,171,138,12
151,170,171,79,71
151,170,185,55,81
151,170,185,79,57
151,170,186,55,80
151,170,186,79,56
151,170,249,55,17
151,170,55,138,128
151,170,55,243,23
151,170,55,255,11
151,170,55,157,109
151,170,55,79,187
151,170,55,153,113
151,170,138,157,26
151,170,138,79,104
151,170,138,153,30
151,170,157,79,85
151,170,157,153,11
151,170,79,153,89
151,171,185,55,82
151,171,185,79,58
151,171,186,55,81
151,171,186,79,57
151,171,249,55,18
151,171,55,138,129
151,171,55,243,24
151,171,55,255,12
151,171,55,157,110
151,171,55,79,188
151,171,55,153,114
151,171,138,157,27
151,171,138,79,105
151,171,138,153,31
151,171,157,79,86
151,171,157,153,12
151,171,79,153,90
151,185,186,55,95
151,185,186,138,12
151,185,186,79,71
151,185,249,55,32
151,185,249,79,8
151,185,55,138,143
151,185,55,243,38
151,185,55,255,26
151,185,55,157,124
151,185,55,79,202
151,185,55,153,128
151,185,138,157,41
151,185,138,79,119
151,185,138,153,45
151,185,243,79,14
151,185,255,79,2
151,185,157,79,100
151,185,157,153,26
151,185,79,153,104
151,186,249,55,33
151,186,249,79,9
151,186,55,138,144
151,186,55,243,39
151,186,55,255,27
151,186,55,157,125
151,186,55,79,203
151,186,55,153,129
151,186,138,157,42
151,186,138,79,120
151,186,138,153,46
151,186,243,79,15
151,186,255,79,3
151,186,157,79,101
151,186,157,153,27
151,186,79,153,105
151,249,284,55,61
151,249,284,79,37
151,249,304,55,41
151,249,304,79,17
151,249,306,55,39
151,249,306,79,15
151,249,315,55,30
151,249,315,79,6
151,249,329,55,16
151,249,330,55,15
151,249,55,138,207
151,249,55,243,102
151,249,55,304,41
151,249,55,255,90
151,249,55,157,188
151,249,55,79,266
151,249,55,153,192
151,249,138,243,19
151,249,138,255,7
151,249,138,157,105
151,249,138,79,183
151,249,138,153,109
151,249,243,79,78
151,249,243,153,4
151,249,304,79,17
151,249,255,79,66
151,249,157,79,164
151,249,157,153,90
151,249,79,153,168
151,284,304,55,76
151,284,304,79,52
151,284,306,55,74
151,284,306,79,50
151,284,315,55,65
151,284,315,79,41
151,284,329,55,51
151,284,329,79,27
151,284,330,55,50
151,284,330,79,26
151,284,358,55,22
151,284,359,55,21
151,284,365,55,15
151,284,55,138,242
151,284,55,243,137
151,284,55,304,76
151,284,55,255,125
151,284,55,351,29
151,284,55,157,223
151,284,55,79,301
151,284,55,153,227
151,284,138,243,54
151,284,138,255,42
151,284,138,157,140
151,284,138,79,218
151,284,138,153,144
151,284,243,157,35
151,284,243,79,113
151,284,243,153,39
151,284,304,79,52
151,284,255,157,23
151,284,255,79,101
151,284,255,153,27
151,284,351,79,5
151,284,157,79,199
151,284,157,153,125
151,284,79,153,203
151,304,306,55,94
151,304,306,138,11
151,304,306,79,70
151,304,315,55,85
151,304,315,138,2
151,304,315,79,61
151,304,329,55,71
151,304,329,79,47
151,304,330,55,70
151,304,330,79,46
151,304,358,55,42
151,304,358,79,18
151,304,359,55,41
151,304,359,79,17
151,304,365,55,35
151,304,365,79,11
151,304,55,138,262
151,304,55,243,157
151,304,55,304,96
151,304,55,255,145
151,304,55,351,49
151,304,55,157,243
151,304,55,79,321
151,304,55,153,247
151,304,138,243,74
151,304,138,304,13
151,304,138,255,62
151,304,138,157,160
151,304,138,79,238
151,304,138,153,164
151,304,243,157,55
151,304,243,79,133
151,304,243,153,59
151,304,304,79,72
151,304,255,157,43
151,304,255,79,121
151,304,255,153,47
151,304,351,79,25
151,304,157,79,219
151,304,157,153,145
151,304,79,153,223
151,306,315,55,87
151,306,315,138,4
151,306,315,79,63
151,306,329,55,73
151,306,329,79,49
151,306,330,55,72
151,306,330,79,48
151,306,358,55,44
151,306,358,79,20
151,306,359,55,43
151,306,359,79,19
151,306,365,55,37
151,306,365,79,13
151,306,55,138,264
151,306,55,243,159
151,306,55,304,98
151,306,55,255,147
151,306,55,351,51
151,306,55,157,245
151,306,55,79,323
151,306,55,153,249
151,306,138,243,76
151,306,138,304,15
151,306,138,255,64
151,306,138,157,162
151,306,138,79,240
151,306,138,153,166
151,306,243,157,57
151,306,243,79,135
151,306,243,153,61
151,306,304,79,74
151,306,255,157,45
151,306,255,79,123
151,306,255,153,49
151,306,351,79,27
151,306,157,79,221
151,306,157,153,147
151,306,79,153,225
151,315,329,55,82
151,315,329,79,58
151,315,330,55,81
151,315,330,79,57
151,315,358,55,53
151,315,358,79,29
151,315,359,55,52
151,315,359,79,28
151,315,365,55,46
151,315,365,79,22
151,315,55,138,273
151,315,55,243,168
151,315,55,304,107
151,315,55,255,156
151,315,55,351,60
151,315,55,157,254
151,315,55,79,332
151,315,55,153,258
151,315,138,243,85
151,315,138,304,24
151,315,138,255,73
151,315,138,157,171
151,315,138,79,249
151,315,138,153,175
151,315,243,157,66
151,315,243,79,144
151,315,243,153,70
151,315,304,157,5
151,315,304,79,83
151,315,304,153,9
151,315,255,157,54
151,315,255,79,132
151,315,255,153,58
151,315,351,79,36
151,315,157,79,230
151,315,157,153,156
151,315,79,153,234
151,329,330,55,95
151,329,330,138,12
151,329,330,79,71
151,329,358,55,67
151,329,358,79,43
151,329,359,55,66
151,329,359,79,42
151,329,365,55,60
151,329,365,79,36
151,329,55,138,287
151,329,55,243,182
151,329,55,304,121
151,329,55,255,170
151,329,55,351,74
151,329,55,157,268
151,329,55,79,346
151,329,55,153,272
151,329,138,243,99
151,329,138,304,38
151,329,138,255,87
151,329,138,157,185
151,329,138,79,263
151,329,138,153,189
151,329,243,157,80
151,329,243,79,158
151,329,243,153,84
151,329,304,157,19
151,329,304,79,97
151,329,304,153,23
151,329,255,157,68
151,329,255,79,146
151,329,255,153,72
151,329,351,79,50
151,329,157,79,244
151,329,157,153,170
151,329,79,153,248
151,330,358,55,68
151,330,358,79,44
151,330,359,55,67
151,330,359,79,43
151,330,365,55,61
151,330,365,79,37
151,330,55,138,288
151,330,55,243,183
151,330,55,304,122
151,330,55,255,171
151,330,55,351,75
151,330,55,157,269
151,330,55,79,347
151,330,55,153,273
151,330,138,243,100
151,330,138,304,39
151,330,138,255,88
151,330,138,157,186
151,330,138,79,264
151,330,138,153,190
151,330,243,157,81
151,330,243,79,159
151,330,243,153,85
151,330,304,157,20
151,330,304,79,98
151,330,304,153,24
151,330,255,157,69
151,330,255,79,147
151,330,255,153,73
151,330,351,79,51
151,330,157,79,245
151,330,157,153,171
151,330,79,153,249
151,358,359,55,95
151,358,359,138,12
151,358,359,79,71
151,358,365,55,89
151,358,365,138,6
151,358,365,79,65
151,358,55,138,316
151,358,55,243,211
151,358,55,304,150
151,358,55,255,199
151,358,55,351,103
151,358,55,157,297
151,358,55,153,301
151,358,138,243,128
151,358,138,304,67
151,358,138,255,116
151,358,138,351,20
151,358,138,157,214
151,358,138,79,292
151,358,138,153,218
151,358,243,255,11
151,358,243,157,109
151,358,243,79,187
151,358,243,153,113
151,358,304,157,48
151,358,304,79,126
151,358,304,153,52
151,358,255,157,97
151,358,255,79,175
151,358,255,153,101
151,358,351,157,1
151,358,351,79,79
151,358,351,153,5
151,358,157,79,273
151,358,157,153,199
151,358,79,153,277
151,359,365,55,90
151,359,365,138,7
151,359,365,79,66
151,359,55,138,317
151,359,55,243,212
151,359,55,304,151
151,359,55,255,200
151,359,55,351,104
151,359,55,157,298
151,359,55,153,302
151,359,138,243,129
151,359,138,304,68
151,359,138,255,117
151,359,138,351,21
151,359,138,157,215
151,359,138,79,293
151,359,138,153,219
151,359,243,255,12
151,359,243,157,110
151,359,243,79,188
151,359,243,153,114
151,359,304,157,49
151,359,304,79,127
151,359,304,153,53
151,359,255,157,98
151,359,255,79,176
151,359,255,153,102
151,359,351,157,2
151,359,351,79,80
151,359,351,153,6
151,359,157,79,274
151,359,157,153,200
151,359,79,153,278
151,365,55,138,323
151,365,55,243,218
151,365,55,304,157
151,365,55,255,206
151,365,55,351,110
151,365,55,157,304
151,365,55,153,308
151,365,138,243,135
151,365,138,304,74
151,365,138,255,123
151,365,138,351,27
151,365,138,157,221
151,365,138,79,299
151,365,138,153,225
151,365,243,255,18
151,365,243,157,116
151,365,243,79,194
151,365,243,153,120
151,365,304,157,55
151,365,304,79,133
151,365,304,153,59
151,365,255,157,104
151,365,255,79,182
151,365,255,153,108
151,365,351,157,8
151,365,351,79,86
151,365,351,153,12
151,365,157,79,280
151,365,157,153,206
151,365,79,153,284
151,138,157,79,53
151,138,79,153,57
151,243,304,79,11
151,243,255,79,60
151,243,157,79,158
151,243,157,153,84
151,243,79,153,162
151,304,255,157,43
151,304,255,79,121
151,304,255,153,47
151,304,351,79,25
151,304,157,79,219
151,304,157,153,145
151,304,79,153,223
151,255,157,79,170
151,255,157,153,96
151,255,79,153,174
151,351,157,79,266
151,351,157,153,192
151,351,79,153,270
151,157,79,153,76
165,170,171,55,109
165,170,171,138,26
165,170,171,157,7
165,170,171,79,85
165,170,171,153,11
165,170,185,55,95
165,170,185,138,12
165,170,185,79,71
165,170,186,55,94
165,170,186,138,11
165,170,186,79,70
165,170,249,55,31
165,170,249,79,7
165,170,55,138,142
165,170,55,243,37
165,170,55,255,25
165,170,55,157,123
165,170,55,79,201
165,170,55,153,127
165,170,138,157,40
165,170,138,79,118
165,170,138,153,44
165,170,243,79,13
165,170,255,79,1
165,170,157,79,99
165,170,157,153,25
165,170,79,153,103
165,171,185,55,96
165,171,185,138,13
165,171,185,79,72
165,171,186,55,95
165,171,186,138,12
165,171,186,79,71
165,171,249,55,32
165,171,249,79,8
165,171,55,138,143
165,171,55,243,38
165,171,55,255,26
165,171,55,157,124
165,171,55,79,202
165,171,55,153,128
165,171,138,157,41
165,171,138,79,119
165,171,138,153,45
165,171,243,79,14
165,171,255,79,2
165,171,157,79,100
165,171,157,153,26
165,171,79,153,104
165,185,186,55,109
165,185,186,138,26
165,185,186,157,7
165,185,186,79,85
165,185,186,153,11
165,185,249,55,46
165,185,249,79,22
165,185,284,55,11
165,185,55,138,157
165,185,55,243,52
165,185,55,255,40
165,185,55,157,138
165,185,55,79,216
165,185,55,153,142
165,185,138,157,55
165,185,138,79,133
165,185,138,153,59
165,185,243,79,28
165,185,255,79,16
165,185,157,79,114
165,185,157,153,40
165,185,79,153,118
165,186,249,55,47
165,186,249,79,23
165,186,284,55,12
165,186,55,138,158
165,186,55,243,53
165,186,55,255,41
165,186,55,157,139
165,186,55,79,217
165,186,55,153,143
165,186,138,157,56
165,186,138,79,134
165,186,138,153,60
165,186,243,79,29
165,186,255,79,17
165,186,157,79,115
165,186,157,153,41
165,186,79,153,119
165,249,284,55,75
165,249,284,79,51
165,249,304,55,55
165,249,304,79,31
165,249,306,55,53
165,249,306,79,29
165,249,315,55,44
165,249,315,79,20
165,249,329,55,30
165,249,329,79,6
165,249,330,55,29
165,249,330,79,5
165,249,358,55,1
165,249,55,138,221
165,249,55,243,116
165,249,55,304,55
165,249,55,255,104
165,249,55,351,8
165,249,55,157,202
165,249,55,79,280
165,249,55,153,206
165,249,138,243,33
165,249,138,255,21
165,249,138,157,119
165,249,138,79,197
165,249,138,153,123
165,249,243,157,14
165,249,243,79,92
165,249,243,153,18
165,249,304,79,31
165,249,255,157,2
165,249,255,79,80
165,249,255,153,6
165,249,157,79,178
165,249,157,153,104
165,249,79,153,182
165,284,304,55,90
165,284,304,138,7
165,284,304,79,66
165,284,306,55,88
165,284,306,138,5
165,284,306,79,64
165,284,315,55,79
165,284,315,79,55
165,284,329,55,65
165,284,329,79,41
165,284,330,55,64
165,284,330,79,40
165,284,358,55,36
165,284,358,79,12
165,284,359,55,35
165,284,359,79,11
165,284,365,55,29
165,284,365,79,5
165,284,55,138,256
165,284,55,243,151
165,284,55,304,90
165,284,55,255,139
165,284,55,351,43
165,284,55,157,237
165,284,55,79,315
165,284,55,153,241
165,284,138,243,68
165,284,138,304,7
165,284,138,255,56
165,284,138,157,154
165,284,138,79,232
165,284,138,153,158
165,284,243,157,49
165,284,243,79,127
165,284,243,153,53
165,284,304,79,66
165,284,255,157,37
165,284,255,79,115
165,284,255,153,41
165,284,351,79,19
165,284,157,79,213
165,284,157,153,139
165,284,79,153,217
165,304,306,55,108
165,304,306,138,25
165,304,306,157,6
165,304,306,79,84
165,304,306,153,10
165,304,315,55,99
165,304,315,138,16
165,304,315,79,75
165,304,315,153,1
165,304,329,55,85
165,304,329,138,2
165,304,329,79,61
165,304,330,55,84
165,304,330,138,1
165,304,330,79,60
165,304,358,55,56
165,304,358,79,32
165,304,359,55,55
165,304,359,79,31
165,304,365,55,49
165,304,365,79,25
165,304,55,138,276
165,304,55,243,171
165,304,55,304,110
165,304,55,255,159
165,304,55,351,63
165,304,55,157,257
165,304,55,79,335
165,304,55,153,261
165,304,138,243,88
165,304,138,304,27
165,304,138,255,76
165,304,138,157,174
165,304,138,79,252
165,304,138,153,178
165,304,243,157,69
165,304,243,79,147
165,304,243,153,73
165,304,304,157,8
165,304,304,79,86
165,304,304,153,12
165,304,255,157,57
165,304,255,79,135
165,304,255,153,61
165,304,351,79,39
165,304,157,79,233
165,304,157,153,159
165,304,79,153,237
165,306,315,55,101
165,306,315,138,18
165,306,315,79,77
165,306,315,153,3
165,306,329,55,87
165,306,329,138,4
165,306,329,79,63
165,306,330,55,86
165,306,330,138,3
165,306,330,79,62
165,306,358,55,58
165,306,358,79,34
165,306,359,55,57
165,306,359,79,33
165,306,365,55,51
165,306,365,79,27
165,306,55,138,278
165,306,55,243,173
165,306,55,304,112
165,306,55,255,161
165,306,55,351,65
165,306,55,157,259
165,306,55,79,337
165,306,55,153,263
165,306,138,243,90
165,306,138,304,29
165,306,138,255,78
165,306,138,157,176
165,306,138,79,254
165,306,138,153,180
165,306,243,157,71
165,306,243,79,149
165,306,243,153,75
165,306,304,157,10
165,306,304,79,88
165,306,304,153,14
165,306,255,157,59
165,306,255,79,137
165,306,255,153,63
165,306,351,79,41
165,306,157,79,235
165,306,157,153,161
165,306,79,153,239
165,315,329,55,96
165,315,329,138,13
165,315,329,79,72
165,315,330,55,95
165,315,330,138,12
165,315,330,79,71
165,315,358,55,67
165,315,358,79,43
165,315,359,55,66
165,315,359,79,42
165,315,365,55,60
165,315,365,79,36
165,315,55,138,287
165,315,55,243,182
165,315,55,304,121
165,315,55,255,170
165,315,55,351,74
165,315,55,157,268
165,315,55,79,346
165,315,55,153,272
165,315,138,243,99
165,315,138,304,38
165,315,138,255,87
165,315,138,157,185
165,315,138,79,263
165,315,138,153,189
165,315,243,157,80
165,315,243,79,158
165,315,243,153,84
165,315,304,157,19
165,315,304,79,97
165,315,304,153,23
165,315,255,157,68
165,315,255,79,146
165,315,255,153,72
165,315,351,79,50
165,315,157,79,244
165,315,157,153,170
165,315,79,153,248
165,329,330,55,109
165,329,330,138,26
165,329,330,157,7
165,329,330,79,85
165,329,330,153,11
165,329,358,55,81
165,329,358,79,57
165,329,359,55,80
165,329,359,79,56
165,329,365,55,74
165,329,365,79,50
165,329,55,138,301
165,329,55,243,196
165,329,55,304,135
165,329,55,255,184
165,329,55,351,88
165,329,55,157,282
165,329,55,79,360
165,329,55,153,286
165,329,138,243,113
165,329,138,304,52
165,329,138,255,101
165,329,138,351,5
165,329,138,157,199
165,329,138,79,277
165,329,138,153,203
165,329,243,157,94
165,329,243,79,172
165,329,243,153,98
165,329,304,157,33
165,329,304,79,111
165,329,304,153,37
165,329,255,157,82
165,329,255,79,160
165,329,255,153,86
165,329,351,79,64
165,329,157,79,258
165,329,157,153,184
165,329,79,153,262
165,330,358,55,82
165,330,358,79,58
165,330,359,55,81
165,330,359,79,57
165,330,365,55,75
165,330,365,79,51
165,330,55,138,302
165,330,55,243,197
165,330,55,304,136
165,330,55,255,185
165,330,55,351,89
165,330,55,157,283
165,330,55,79,361
165,330,55,153,287
165,330,138,243,114
165,330,138,304,53
165,330,138,255,102
165,330,138,351,6
165,330,138,157,200
165,330,138,79,278
165,330,138,153,204
165,330,243,157,95
165,330,243,79,173
165,330,243,153,99
165,330,304,157,34
165,330,304,79,112
165,330,304,153,38
165,330,255,157,83
165,330,255,79,161
165,330,255,153,87
165,330,351,79,65
165,330,157,79,259
165,330,157,153,185
165,330,79,153,263
165,358,359,55,109
165,358,359,138,26
165,358,359,157,7
165,358,359,79,85
165,358,359,153,11
165,358,365,55,103
165,358,365,138,20
165,358,365,157,1
165,358,365,79,79
165,358,365,153,5
165,358,55,138,330
165,358,55,243,225
165,358,55,304,164
165,358,55,255,213
165,358,55,351,117
165,358,55,157,311
165,358,55,153,315
165,358,138,243,142
165,358,138,304,81
165,358,138,255,130
165,358,138,351,34
165,358,138,157,228
165,358,138,79,306
165,358,138,153,232
165,358,243,255,25
165,358,243,157,123
165,358,243,79,201
165,358,243,153,127
165,358,304,157,62
165,358,304,79,140
165,358,304,153,66
165,358,255,157,111
165,358,255,79,189
165,358,255,153,115
165,358,351,157,15
165,358,351,79,93
165,358,351,153,19
165,358,157,79,287
165,358,157,153,213
165,358,79,153,291
165,359,365,55,104
165,359,365,138,21
165,359,365,157,2
165,359,365,79,80
165,359,365,153,6
165,359,55,138,331
165,359,55,243,226
165,359,55,304,165
165,359,55,255,214
165,359,55,351,118
165,359,55,157,312
165,359,55,153,316
165,359,138,243,143
